,permit_number,business_name,issued_date,expiration_date,address,latitude,longitude
400,1144463,SUMU TOKYO RAMEN AND SUSHI,08/03/2020,05/31/2021,1131 W MADISON ST,41.881535752,-87.655580486
401,1144464,KANELA BREAKFAST CLUB,12/21/2020,05/31/2021,1552 N WELLS ST,41.910676091,-87.63484273700001
402,1144466,GLASCOTT'S GROGGERY,06/18/2020,05/31/2021,2158 N HALSTED ST,41.921723647,-87.64877701
403,1144467,ATHENIAN ROOM RESTAURANT,08/07/2020,05/31/2021,807 W WEBSTER AVE,41.921702061,-87.648943732
404,1144469,LA BOULANGERIE,06/26/2020,05/31/2021,3129 W LOGAN BLVD,41.927864203,-87.706161882
405,1144472,CHICAGO GRIND,06/25/2020,05/31/2021,5256 N BROADWAY,41.977994211,-87.660061201
406,1144473,"KOPI, A TRAVELER'S CAFE",06/09/2020,05/31/2021,5317 N CLARK ST,41.978607404,-87.668176411
407,1144475,"KANELA ""BREAKFAST CLUB""",07/29/2020,05/31/2021,5413 N CLARK ST,41.980204645,-87.66815868
408,1144476,MANGO PICKLE,07/02/2020,05/31/2021,5842 N BROADWAY,41.988272104,-87.660358696
409,1144478,ANTO PIZZA CHICAGO,06/01/2020,05/31/2021,1547 W JARVIS AVE,42.015888748,-87.66997511
410,1144479,LAS MANANITAS,07/09/2020,05/31/2021,3523 N HALSTED ST,41.946201295,-87.64930463399999
411,1144480,BOSS BAR,06/01/2020,05/31/2021,418-420 N CLARK ST,41.889904879,-87.63122455
412,1144481,BLAZE PIZZA,06/01/2020,05/31/2021,511 S STATE ST,41.875414932,-87.627472611
413,1144482,BLAZE PIZZA,06/01/2020,05/31/2021,24 S CLINTON ST,41.881100074,-87.641315244
414,1144483,BLAZE PIZZA,06/01/2020,05/31/2021,227 E ONTARIO ST,41.893262977,-87.621958776
415,1144486,EXCHEQUER RESTAURANT,06/22/2020,05/31/2021,224 - 226 S WABASH AVE,41.878904039,-87.62625048
416,1144494,DOS URBAN CANTINA,06/25/2020,05/31/2021,2829-2831 W ARMITAGE AVE,41.917370078000005,-87.69824926
